team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,3,0,0,0,0,1,.248,0,0,0,-,-,-,0,21,1,0.0
eat-the-rich,24,1,0,0,1,4,0,.459,0,7,10,4.32,1.56,10.80,0,27,4,8.1
trouts-honor,24,2,2,0,0,6,2,1.000,0,1,2,0.00,0.50,9.00,2,14,5,2.0
me-so-hoerner,24,2,0,1,0,1,0,.732,0,2,8,1.29,0.86,10.29,0,19,5,7.0
you-hangem-we-bangem,24,3,0,0,1,2,2,1.062,0,0,0,-,-,-,0,10,3,0.0
sheatriptease-bangeliers,24,2,0,0,0,2,3,.568,0,0,0,4.50,0.50,0.00,1,20,5,2.0
springfield-isotopes,24,1,0,0,0,0,1,.514,0,0,2,0.00,1.00,18.00,1,15,2,1.0
baseball-furries,24,2,2,0,1,3,0,1.008,0,0,2,0.00,0.50,9.00,0,22,8,2.0
