team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,24,13,0,6,21,5,.689,2,15,36,4.73,1.39,10.02,3,190,40,32.1
eat-the-rich,24,36,7,2,17,44,4,.906,1,19,53,3.35,1.08,9.35,2,192,50,51.0
trouts-honor,24,26,6,1,7,32,4,.795,1,9,29,5.87,1.30,8.51,6,177,47,30.2
me-so-hoerner,24,29,6,2,7,32,1,.759,0,12,37,3.77,1.16,10.74,3,197,52,31.0
you-hangem-we-bangem,24,12,5,0,3,13,3,.532,0,7,27,3.92,1.11,11.76,1,165,30,20.2
sheatriptease-bangeliers,24,33,13,1,9,25,9,.937,1,5,13,9.00,1.92,9.75,-2,190,61,12.0
springfield-isotopes,24,22,9,2,8,21,4,.815,5,14,29,2.57,1.20,7.46,1,189,52,35.0
baseball-furries,24,25,11,1,8,31,0,.749,3,10,26,5.14,1.29,8.36,-3,184,41,28.0
