team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,4,1,0,1,3,1,.513,0,0,0,-,-,-,0,25,3,0.0
eat-the-rich,24,1,0,0,1,4,0,.444,0,7,10,4.32,1.56,10.80,0,28,4,8.1
trouts-honor,24,2,2,0,0,6,2,.887,0,1,3,0.00,0.33,9.00,2,16,5,3.0
me-so-hoerner,24,2,0,1,0,1,0,.732,0,2,8,1.29,0.86,10.29,0,19,5,7.0
you-hangem-we-bangem,24,3,0,0,1,2,2,.974,0,0,0,-,-,-,0,11,3,0.0
sheatriptease-bangeliers,24,2,0,0,0,2,3,.558,0,0,0,4.50,0.50,0.00,1,24,6,2.0
springfield-isotopes,24,2,0,0,1,1,1,.700,0,0,2,0.00,1.00,18.00,1,19,3,1.0
baseball-furries,24,2,2,0,1,3,0,1.031,1,3,3,2.08,1.38,6.23,-2,22,8,4.1
