team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,6,2,0,2,4,2,.551,0,2,4,6.00,1.33,12.00,0,46,6,3.0
eat-the-rich,24,3,0,0,3,7,0,.866,0,7,13,0.00,1.00,13.50,1,45,8,10.1
trouts-honor,24,8,5,0,2,13,3,1.124,0,2,4,10.38,1.62,2.08,2,39,13,7.1
me-so-hoerner,24,5,1,1,1,6,0,1.031,0,2,8,9.00,2.00,0.00,1,41,14,8.0
you-hangem-we-bangem,24,5,0,0,3,9,3,.643,0,0,0,-,-,-,0,37,7,0.0
sheatriptease-bangeliers,24,4,2,0,0,2,3,.697,0,1,1,54.00,12.00,27.00,1,46,12,2.1
springfield-isotopes,24,6,3,0,2,4,1,1.048,1,5,6,0.90,1.20,3.60,1,43,12,11.0
baseball-furries,24,4,5,0,1,7,0,.603,1,3,3,-,-,-,-2,46,13,4.1
