team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,8,3,0,2,6,3,.460,0,4,8,7.72,1.50,15.43,1,79,9,4.2
eat-the-rich,24,10,3,0,5,15,0,.653,1,9,19,3.06,1.19,9.68,2,91,18,17.2
trouts-honor,24,12,5,0,3,17,4,.725,0,4,5,5.78,1.18,4.82,3,81,18,9.1
me-so-hoerner,24,11,1,1,5,16,0,.811,0,5,19,2.12,1.00,10.06,3,94,27,17.0
you-hangem-we-bangem,24,7,3,0,3,10,3,.589,0,5,24,2.37,0.95,11.37,2,77,14,19.0
sheatriptease-bangeliers,24,13,5,0,3,11,4,.847,0,4,7,11.37,2.05,9.95,2,93,30,6.1
springfield-isotopes,24,9,4,0,3,12,3,.676,3,8,15,2.25,1.15,6.75,0,94,21,20.0
baseball-furries,24,11,7,0,3,12,0,.648,3,5,16,5.02,0.97,10.05,-2,96,20,14.1
