team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,14,4,0,4,10,3,.571,0,5,13,8.38,1.86,12.10,1,110,16,9.2
eat-the-rich,24,21,4,1,10,26,2,.811,1,14,35,2.59,1.05,10.05,2,122,28,31.1
trouts-honor,24,14,5,0,4,19,4,.735,0,4,9,4.63,1.12,6.94,5,113,28,11.2
me-so-hoerner,24,16,3,2,5,21,1,.740,0,5,19,2.12,1.00,10.06,3,131,34,17.0
you-hangem-we-bangem,24,8,3,0,3,11,3,.543,0,5,24,2.37,0.95,11.37,2,106,19,19.0
sheatriptease-bangeliers,24,18,8,1,4,14,5,.847,0,5,8,11.05,2.32,9.82,1,126,39,7.1
springfield-isotopes,24,11,6,2,4,14,3,.734,4,10,18,1.90,1.18,6.85,0,127,31,23.2
baseball-furries,24,16,9,0,6,21,0,.743,3,9,22,4.44,1.23,8.14,-2,123,27,24.1
