team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,7,2,0,2,5,3,.536,0,3,6,9.82,1.91,14.73,0,53,6,3.2
eat-the-rich,24,6,1,0,3,8,0,.739,1,9,17,2.16,0.96,7.56,1,58,11,16.2
trouts-honor,24,9,5,0,3,15,3,1.053,0,2,4,10.38,1.62,2.08,2,46,14,7.1
me-so-hoerner,24,5,1,1,1,6,0,.740,0,2,8,9.00,2.00,0.00,1,51,14,8.0
you-hangem-we-bangem,24,5,0,0,3,9,3,.580,0,0,0,-,-,-,0,40,7,0.0
sheatriptease-bangeliers,24,7,2,0,1,4,3,.958,0,3,4,32.40,5.40,21.60,2,53,16,3.2
springfield-isotopes,24,6,4,0,2,5,1,.917,2,6,7,0.69,1.00,3.46,1,52,14,14.0
baseball-furries,24,6,6,0,1,7,0,.590,1,3,3,-,-,-,-2,54,14,4.1
