team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,20,11,0,5,18,5,.647,1,13,24,5.25,1.42,9.00,2,179,36,24.0
eat-the-rich,24,34,5,2,16,43,4,.880,1,19,53,2.84,1.01,9.41,2,185,47,50.2
trouts-honor,24,24,6,0,7,30,4,.786,1,9,29,5.87,1.30,8.51,6,173,46,30.2
me-so-hoerner,24,26,6,2,7,30,1,.738,0,12,37,3.77,1.16,10.74,3,193,49,31.0
you-hangem-we-bangem,24,11,5,0,3,13,3,.520,0,7,27,3.92,1.11,11.76,0,159,28,20.2
sheatriptease-bangeliers,24,33,13,1,9,25,9,.932,0,5,13,9.00,1.91,9.75,-1,188,60,12.0
springfield-isotopes,24,22,9,2,8,21,4,.822,5,14,29,2.57,1.20,7.46,1,187,52,35.0
baseball-furries,24,25,11,1,8,30,0,.737,3,10,26,5.14,1.28,8.36,-3,180,39,28.0
