team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,8,2,0,2,6,3,.442,0,4,6,9.82,1.91,14.73,0,74,8,3.2
eat-the-rich,24,9,3,0,5,15,0,.675,1,9,19,3.06,1.19,9.68,2,83,17,17.2
trouts-honor,24,12,5,0,3,17,3,.778,0,3,4,5.40,1.08,4.32,2,71,17,8.1
me-so-hoerner,24,10,1,1,4,13,0,.819,0,3,9,3.00,1.11,9.00,2,87,26,9.0
you-hangem-we-bangem,24,6,1,0,3,10,3,.566,0,3,12,3.75,1.25,9.00,1,66,11,12.0
sheatriptease-bangeliers,24,12,4,0,3,10,4,.851,0,4,7,11.37,2.05,9.95,2,82,26,6.1
springfield-isotopes,24,7,4,0,2,9,3,.692,3,8,15,2.25,1.15,6.75,0,76,17,20.0
baseball-furries,24,10,7,0,3,12,0,.751,2,3,5,1.23,0.82,6.14,-1,79,19,7.1
