team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,7,2,0,2,5,3,.500,0,3,6,9.82,1.91,14.73,0,59,7,3.2
eat-the-rich,24,8,3,0,4,11,0,.845,1,9,19,3.06,1.19,9.68,1,68,14,17.2
trouts-honor,24,9,5,0,3,15,3,.877,0,3,4,5.40,1.08,4.32,2,52,14,8.1
me-so-hoerner,24,7,1,1,2,7,0,.793,0,2,8,2.25,1.00,9.00,1,61,17,8.0
you-hangem-we-bangem,24,5,0,0,3,9,3,.588,0,0,0,-,-,-,0,43,8,0.0
sheatriptease-bangeliers,24,9,3,0,1,4,3,.886,0,3,4,17.18,2.73,9.82,2,64,19,3.2
springfield-isotopes,24,6,4,0,2,5,1,.742,2,6,7,0.64,1.00,4.50,1,61,14,14.0
baseball-furries,24,7,6,0,1,7,0,.547,1,3,5,1.23,0.82,6.14,-2,58,14,7.1
