team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,3,0,0,0,0,1,.283,0,0,0,-,-,-,0,18,1,0.0
eat-the-rich,24,1,0,0,1,3,0,.494,0,7,10,4.32,1.56,10.80,0,21,3,8.1
trouts-honor,24,0,1,0,0,4,0,.917,0,1,2,0.00,0.50,9.00,2,12,4,2.0
me-so-hoerner,24,2,0,1,0,1,0,.703,0,1,7,0.00,0.67,10.50,0,17,4,6.0
you-hangem-we-bangem,24,3,0,0,1,2,2,1.121,0,0,0,-,-,-,0,9,3,0.0
sheatriptease-bangeliers,24,2,0,0,0,2,3,.745,0,0,0,4.50,0.50,0.00,1,15,5,2.0
springfield-isotopes,24,1,0,0,0,0,1,.582,0,0,2,0.00,1.00,18.00,1,11,2,1.0
baseball-furries,24,1,1,0,1,3,0,.959,0,0,2,0.00,0.50,9.00,0,20,7,2.0
