team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,4,1,0,1,3,2,.167,0,0,0,-,-,-,0,30,3,0.0
eat-the-rich,24,2,0,0,2,6,0,1.500,0,7,10,-,-,-,0,34,7,8.1
trouts-honor,24,4,4,0,1,10,2,1.250,0,2,4,8.31,1.38,2.08,2,28,10,7.1
me-so-hoerner,24,3,0,1,0,3,0,.708,0,2,8,-,-,-,0,27,8,7.0
you-hangem-we-bangem,24,5,0,0,3,7,2,1.107,0,0,0,-,-,-,0,23,6,0.0
sheatriptease-bangeliers,24,4,2,0,0,2,3,.885,0,0,0,-,-,-,1,36,10,2.0
springfield-isotopes,24,5,3,0,1,3,1,1.053,0,1,3,3.00,1.33,3.00,1,30,7,4.0
baseball-furries,24,3,2,0,1,3,0,.111,1,3,3,-,-,-,-2,30,8,4.1
