team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-12,24,3,3,0,1,4,2,.807,1,3,6,3.24,1.08,6.48,0,38,12,8.1
eat-the-rich,2026-09-12,24,6,0,0,3,7,0,.839,0,2,12,1.64,0.64,9.82,0,33,8,11.0
trouts-honor,2026-09-12,24,3,1,0,2,4,0,.945,0,3,12,9.53,1.76,9.53,0,26,7,11.1
me-so-hoerner,2026-09-12,24,4,2,0,1,3,0,.814,0,2,1,4.50,1.50,4.50,-1,28,6,2.0
you-hangem-we-bangem,2026-09-12,24,1,1,0,0,2,0,.398,0,2,2,18.00,3.00,18.00,-1,27,3,1.0
sheatriptease-bangeliers,2026-09-12,24,11,3,0,3,5,2,1.299,0,0,4,0.00,0.69,8.31,-1,31,12,4.1
springfield-isotopes,2026-09-12,24,5,0,0,3,6,1,.977,0,1,6,7.94,1.76,9.53,1,31,10,5.2
baseball-furries,2026-09-12,24,4,0,0,1,4,0,.501,0,1,2,18.00,2.00,18.00,-1,32,4,1.0
