team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-11,24,6,1,0,2,4,0,.852,0,1,5,9.00,2.20,9.00,0,31,7,5.0
eat-the-rich,2026-09-11,24,11,1,1,5,11,2,1.275,0,5,16,1.98,0.88,10.54,0,31,10,13.2
trouts-honor,2026-09-11,24,2,0,0,1,2,0,.759,0,0,4,0.00,0.86,15.43,2,32,10,2.1
me-so-hoerner,2026-09-11,24,5,2,1,0,5,1,.559,0,0,0,-,-,-,0,37,7,0.0
you-hangem-we-bangem,2026-09-11,24,1,0,0,0,1,0,.422,0,0,0,-,-,-,0,29,5,0.0
sheatriptease-bangeliers,2026-09-11,24,5,3,1,1,3,1,.848,0,1,1,9.00,4.00,9.00,-1,33,9,1.0
springfield-isotopes,2026-09-11,24,2,2,2,1,2,0,.899,1,2,3,0.00,1.36,7.36,0,33,10,3.2
baseball-furries,2026-09-11,24,5,2,0,3,9,0,1.078,0,4,6,3.60,1.60,5.40,0,27,7,10.0
