team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-13,24,3,4,0,0,4,0,.720,0,5,5,3.00,1.17,7.50,1,31,8,6.0
eat-the-rich,2026-09-13,24,7,1,1,3,10,2,1.208,0,3,6,5.40,1.32,6.48,0,30,11,8.1
trouts-honor,2026-09-13,24,7,0,0,1,7,0,.837,1,2,8,2.35,0.91,9.39,1,34,11,7.2
me-so-hoerner,2026-09-13,24,6,1,0,1,6,0,.668,0,5,17,6.00,1.33,12.75,1,34,9,12.0
you-hangem-we-bangem,2026-09-13,24,2,1,0,0,0,0,.555,0,0,1,27.00,3.00,13.50,-1,26,6,0.2
sheatriptease-bangeliers,2026-09-13,24,4,2,0,2,6,2,.909,0,0,1,81.00,9.00,27.00,-1,31,9,0.1
springfield-isotopes,2026-09-13,24,6,3,0,1,1,0,1.041,1,3,5,0.00,0.71,7.94,0,29,11,5.2
baseball-furries,2026-09-13,24,5,2,1,1,5,0,1.014,0,0,2,6.75,1.50,6.75,0,25,8,2.2
