team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-10,24,0,1,0,0,0,0,.733,0,0,2,0.00,0.00,18.00,1,5,1,1.0
eat-the-rich,2026-09-10,24,1,0,0,0,0,0,.425,0,0,0,-,-,-,0,8,1,0.0
trouts-honor,2026-09-10,24,0,0,0,0,0,1,.350,0,1,1,9.00,2.00,9.00,1,10,1,1.0
me-so-hoerner,2026-09-10,24,1,0,0,1,3,0,.714,0,2,10,1.12,0.88,11.25,1,7,1,8.0
you-hangem-we-bangem,2026-09-10,24,1,2,0,0,0,0,.727,0,2,12,0.00,0.43,15.43,1,11,3,7.0
sheatriptease-bangeliers,2026-09-10,24,1,1,0,0,1,0,.818,0,0,0,-,-,-,0,11,4,0.0
springfield-isotopes,2026-09-10,24,2,0,0,1,3,0,.611,0,0,0,-,-,-,0,18,4,0.0
baseball-furries,2026-09-10,24,1,0,0,0,0,0,.170,1,2,11,9.00,1.14,14.14,-1,17,1,7.0
