team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-08,24,3,1,0,1,2,2,.536,0,3,6,9.82,1.91,14.73,0,28,3,3.2
eat-the-rich,2026-09-08,24,5,1,0,2,4,0,.739,1,2,7,2.16,0.96,7.56,1,30,7,8.1
trouts-honor,2026-09-08,24,7,3,0,3,9,1,1.053,0,1,1,10.38,1.62,2.08,0,30,9,4.1
me-so-hoerner,2026-09-08,24,3,1,0,1,5,0,.740,0,0,0,9.00,2.00,0.00,1,32,9,1.0
you-hangem-we-bangem,2026-09-08,24,2,0,0,2,7,1,.580,0,0,0,-,-,-,0,29,4,0.0
sheatriptease-bangeliers,2026-09-08,24,5,2,0,1,2,0,.958,0,3,4,32.40,5.40,21.60,1,29,10,1.2
springfield-isotopes,2026-09-08,24,4,4,0,1,4,0,.917,2,6,5,0.69,1.00,3.46,0,33,11,13.0
baseball-furries,2026-09-08,24,4,4,0,0,4,0,.590,0,0,0,-,-,-,0,32,6,0.0
