team_id,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,24,17,7,0,5,14,5,.631,1,5,17,6.48,1.38,9.18,1,144,27,16.2
eat-the-rich,24,25,4,1,11,27,2,.802,1,16,47,2.34,0.95,9.99,2,142,33,42.1
trouts-honor,24,16,5,0,5,22,4,.758,0,4,12,5.93,1.17,7.90,5,131,33,13.2
me-so-hoerner,24,17,3,2,6,24,1,.729,0,7,20,2.37,1.06,9.47,2,148,36,19.0
you-hangem-we-bangem,24,8,4,0,3,12,3,.502,0,7,26,3.15,1.05,11.70,1,124,20,20.0
sheatriptease-bangeliers,24,27,10,1,7,19,7,.941,0,5,11,8.68,1.93,10.61,1,148,48,9.1
springfield-isotopes,24,13,6,2,5,15,3,.728,4,10,24,3.10,1.28,7.45,1,145,35,29.0
baseball-furries,24,18,9,0,7,23,0,.729,3,9,22,4.44,1.23,8.14,-2,137,29,24.1
