team_id,date,week,r,2b,3b,hr,rbi,sb,ops,w,bb,k,era,whip,k9,nsvh,at_bats,batting_hits,innings_pitched
slump-busters,2026-09-12,24,3,3,0,1,4,2,.824,1,0,4,3.86,0.71,5.14,0,34,11,7.0
eat-the-rich,2026-09-12,24,4,0,0,1,1,0,.748,0,2,12,1.64,0.64,9.82,0,20,5,11.0
trouts-honor,2026-09-12,24,2,0,0,1,3,0,.903,0,0,3,13.50,1.50,13.50,0,18,5,2.0
me-so-hoerner,2026-09-12,24,1,0,0,1,3,0,.642,0,2,1,4.50,1.50,4.50,-1,17,2,2.0
you-hangem-we-bangem,2026-09-12,24,0,1,0,0,1,0,.261,0,2,2,18.00,3.00,18.00,-1,18,1,1.0
sheatriptease-bangeliers,2026-09-12,24,9,2,0,3,5,2,1.476,0,0,3,0.00,0.50,13.50,0,22,9,2.0
springfield-isotopes,2026-09-12,24,2,0,0,1,1,0,.689,0,0,6,8.44,1.69,10.12,1,18,4,5.1
baseball-furries,2026-09-12,24,2,0,0,1,2,0,.607,0,0,0,-,-,-,0,14,2,0.0
